date,AUD,JPY,USD
2007-01-01 16:00:00,0.019947,-0.000200,0.010052
2007-01-02 16:00:00,0.020079,-0.000133,0.010165
2007-01-03 16:00:00,0.020164,-0.000193,0.010205
2007-01-04 16:00:00,0.020265,-0.000120,0.010272
2007-01-05 16:00:00,0.020388,0.000038,0.010237
2007-01-07 16:00:00,0.020458,-0.000015,0.010416
2007-01-08 16:00:00,0.020410,0.000043,0.010531
2007-01-09 16:00:00,0.020366,-0.000050,0.010575
2007-01-10 16:00:00,0.020158,-0.000089,0.010555
2007-01-11 16:00:00,0.019991,0.000029,0.010592
2007-01-12 16:00:00,0.020115,0.000012,0.010630
2007-01-14 16:00:00,0.020003,0.000168,0.010717
2007-01-15 16:00:00,0.019914,0.000023,0.010675
2007-01-16 16:00:00,0.020048,0.000084,0.010713
2007-01-17 16:00:00,0.020086,0.000144,0.010645
2007-01-18 16:00:00,0.020175,0.000231,0.010597
2007-01-19 16:00:00,0.020393,0.000234,0.010595
2007-01-21 16:00:00,0.020351,0.000388,0.010580
2007-01-22 16:00:00,0.020320,0.000533,0.010501
2007-01-23 16:00:00,0.020321,0.000491,0.010592
2007-01-24 16:00:00,0.020271,0.000498,0.010628
2007-01-25 16:00:00,0.020485,0.000590,0.010510
2007-01-26 16:00:00,0.020335,0.000729,0.010573
2007-01-28 16:00:00,0.020408,0.000604,0.010542
2007-01-29 16:00:00,0.020355,0.000572,0.010611
2007-01-30 16:00:00,0.020365,0.000758,0.010559
2007-01-31 16:00:00,0.020387,0.000723,0.010489
2007-02-01 16:00:00,0.020383,0.000694,0.010326
2007-02-02 16:00:00,0.020461,0.000519,0.010330
2007-02-04 16:00:00,0.020665,0.000577,0.010442
2007-02-05 16:00:00,0.020560,0.000576,0.010325
2007-02-06 16:00:00,0.020583,0.000530,0.010224
2007-02-07 16:00:00,0.020459,0.000703,0.010212
2007-02-08 16:00:00,0.020475,0.000622,0.010141
2007-02-09 16:00:00,0.020664,0.000562,0.010233
2007-02-11 16:00:00,0.020691,0.000646,0.010153
2007-02-12 16:00:00,0.020594,0.000574,0.010143
2007-02-13 16:00:00,0.020595,0.000556,0.009984
2007-02-14 16:00:00,0.020720,0.000545,0.009914
2007-02-15 16:00:00,0.020925,0.000448,0.009803
2007-02-16 16:00:00,0.020981,0.000427,0.009829
2007-02-18 16:00:00,0.020883,0.000352,0.009662
2007-02-19 16:00:00,0.021017,0.000296,0.009698
2007-02-20 16:00:00,0.021013,0.000232,0.009624
2007-02-21 16:00:00,0.021118,0.000211,0.009626
2007-02-22 16:00:00,0.021033,0.000324,0.009839
2007-02-23 16:00:00,0.021035,0.000298,0.010055
2007-02-25 16:00:00,0.021203,0.000348,0.010051
2007-02-26 16:00:00,0.021335,0.000343,0.010028
2007-02-27 16:00:00,0.021270,0.000323,0.010090
2007-02-28 16:00:00,0.021139,0.000366,0.010131
2007-03-01 16:00:00,0.021156,0.000532,0.009953
2007-03-02 16:00:00,0.021037,0.000406,0.009751
2007-03-04 16:00:00,0.020905,0.000439,0.009710
2007-03-05 16:00:00,0.020897,0.000405,0.009676
2007-03-06 16:00:00,0.020840,0.000474,0.009760
2007-03-07 16:00:00,0.020840,0.000354,0.009727
2007-03-08 16:00:00,0.020703,0.000422,0.009840
2007-03-09 16:00:00,0.020617,0.000389,0.010015
2007-03-11 16:00:00,0.020606,0.000291,0.010000
2007-03-12 16:00:00,0.020675,0.000116,0.009874
2007-03-13 16:00:00,0.020721,0.000148,0.009849
2007-03-14 16:00:00,0.020761,0.000274,0.009889
2007-03-15 16:00:00,0.020820,0.000228,0.009955
2007-03-16 16:00:00,0.020816,0.000271,0.009886
2007-03-18 16:00:00,0.020857,0.000331,0.009690
